annearn,hrearn,exper,age,depends,married,tenure,educ,nrtheast,nrthcen,south,male,white,union,office,annhrs,ind1,ind2,ind3,ind4,ind5,ind6,ind7,ind8,ind9,vacdays,sicklve,insur,pension,annbens,hrbens,annhrssq,beratio,lannhrs,tenuresq,expersq,lannearn,peratio,vserat
15000,7.81,14,36,2,1,15,18,1,0,0,1,1,0,1,1920,1,0,0,0,0,0,0,0,0,974.8,421,617.81,1367.8,3381.41,1.76,3686400,0.225427,7.560081,225,196,9.615806,0.091187,0.093053
6500,5,7,23,0,0,8,10,0,0,1,1,1,0,0,1300,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1690000,0,7.17012,64,49,8.779557,0,0
6908.99,2.35,22,38,3,1,0.5,6,0,0,1,1,1,0,0,2940,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8643600,0,7.986165,0.25,484,8.840579,0,0
5512.5,4.5,2,18,0,0,0.5,12,0,0,1,1,1,0,0,1225,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1500625,0,7.110696,0.25,4,8.614774,0,0
7800,3.75,19,35,0,0,2,12,0,0,1,1,0,0,0,2080,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4326400,0,7.640123,4,361,8.961879,0,0
9187.5,3.75,24,40,3,1,8,13,1,0,0,1,1,0,0,2450,0,1,0,0,0,0,0,0,0,343.3,107.93,473.31,503.96,1428.5,0.58,6002500,0.155483,7.803843,64,576,9.125599,0.054853,0.049113
8880,4.63,42,58,0,1,8,12,1,0,0,1,1,1,0,1920,0,1,0,0,0,0,0,0,0,343.3,107.93,473.31,503.96,1428.5,0.74,3686400,0.160867,7.560081,64,1764,9.091557,0.056752,0.050814
8532.69,3.72,21,37,1,1,0.5,13,0,1,0,1,1,0,0,2295,0,1,0,0,0,0,0,0,0,343.3,107.93,473.31,503.96,1428.5,0.62,5267025,0.167415,7.738488,0.25,441,9.05166,0.059062,0.052882
8225,5,22,37,5,0,15,10,1,0,0,1,1,1,0,1645,0,1,0,0,0,0,0,0,0,203.4,84.01,261.99,0,549.4,0.33,2706025,0.066796,7.405496,225,484,9.014934,0,0.034944
8916,4.55,40,59,0,1,8,6,0,0,1,1,1,1,0,1960,0,1,0,0,0,0,0,0,0,30.93,0,465.29,494.64,990.86,0.51,3841600,0.111133,7.5807,64,1600,9.095603,0.055478,0.003469
8064,4,8,24,1,0,0.5,12,0,1,0,1,1,0,0,2016,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4064256,0,7.608871,0.25,64,8.995165,0,0
11232,4.5,19,39,3,1,2,10,0,0,1,1,1,0,0,2496,0,1,0,0,0,0,0,0,0,0,0,494.75,0,494.75,0.2,6230016,0.044048,7.822445,4,361,9.326522,0,0
16615.4,8.65,35,52,2,1,25,12,0,0,0,1,1,1,0,1920,0,1,0,0,0,0,0,0,0,1302.86,760,1425.51,1190.8,4679.17,2.44,3686400,0.281616,7.560081,625,1225,9.718085,0.071668,0.124153
12100,6.17,30,46,1,1,15,10,0,0,1,1,1,1,0,1960,0,1,0,0,0,0,0,0,0,485.11,155.11,1300.4,1286.3,3226.92,1.65,3841600,0.266688,7.5807,225,900,9.400961,0.106306,0.052911
18000,5.25,7,23,1,0,2,13,0,0,1,1,1,0,0,3430,0,1,0,0,0,0,0,0,0,485.11,155.11,1300.4,1286.3,3226.92,0.94,11800000,0.179273,8.140316,4,49,9.798127,0.071461,0.035568
12862.5,7,40,60,0,1,15,10,1,0,0,1,1,1,0,1837.5,0,1,0,0,0,0,0,0,0,485.11,155.11,1300.4,1286.3,3226.92,1.76,3376406,0.250878,7.516161,225,1600,9.462071,0.100004,0.049774
13739.6,7.01,20,39,1,1,2,6,0,0,1,1,1,1,0,1960,0,1,0,0,0,0,0,0,0,485.11,155.11,1300.4,1286.3,3226.92,1.65,3841600,0.234863,7.5807,4,400,9.528037,0.09362,0.046597
14726.2,5.25,5,21,1,1,2,12,0,0,1,1,1,0,0,2805,0,1,0,0,0,0,0,0,0,430,231,648,0,1309,0.47,7868025,0.088889,7.939159,4,25,9.597383,0,0.044886
12524.4,5.68,45,51,0,1,15,10,1,0,0,1,1,0,0,2205,0,1,0,0,0,0,0,0,0,149.99,0,1153.97,1394.1,2698.06,1.22,4862025,0.215424,7.698483,225,2025,9.435434,0.111311,0.011976
21168,7.2,7,23,2,1,8,12,0,1,0,1,1,0,0,2940,0,1,0,0,0,0,0,0,0,139.56,0,356.26,0,495.82,0.17,8643600,0.023423,7.986165,64,49,9.960246,0,0.006593
16717.3,7.51,40,58,1,1,2,12,0,0,1,1,1,1,0,2226,0,1,0,0,0,0,0,0,0,0,0,819.9,888.49,1708.39,0.77,4955076,0.102193,7.707962,4,1600,9.724199,0.053148,0
21732.5,11.76,14,34,0,1,2,13,0,0,0,1,1,1,0,1848,0,1,0,0,0,0,0,0,0,0,0,819.9,888.49,1708.39,0.92,3415104,0.07861,7.521859,4,196,9.986564,0.040883,0
19344,12.4,37,55,0,1,0.5,12,0,0,1,1,1,1,0,1560,0,1,0,0,0,0,0,0,0,0,0,819.9,888.49,1708.39,1.1,2433600,0.088316,7.352441,0.25,1369,9.870137,0.045931,0
24200,12.1,35,51,2,0,0.5,13,0,1,0,1,1,1,0,2000,0,1,0,0,0,0,0,0,0,0,0,819.9,888.49,1708.39,0.85,4000000,0.070595,7.600903,0.25,1225,10.09411,0.036714,0
16524,6,11,27,4,1,0.5,12,0,1,0,1,1,0,0,2754,0,1,0,0,0,0,0,0,0,0,0,138.75,0,138.75,0.05,7584516,0.008397,7.92081,0.25,121,9.712569,0,0
19408,12.13,9,25,1,1,0.5,13,0,1,0,1,1,1,0,1600,0,1,0,0,0,0,0,0,0,0,0,138.75,0,138.75,0.09,2560000,0.007149,7.377759,0.25,81,9.873441,0,0
9600,4.71,4,20,0,1,0.5,12,1,0,0,1,1,0,1,2040,0,1,0,0,0,0,0,0,0,356.11,184.08,464.82,0,1005.01,0.49,4161600,0.104689,7.620705,0.25,16,9.169518,0,0.05627
15576.9,7.79,18,47,1,1,0.5,13,0,0,1,1,1,0,1,2000,0,1,0,0,0,0,0,0,0,995.69,408.11,917.51,1452.01,3773.32,1.89,4000000,0.242238,7.600903,0.25,324,9.653544,0.093216,0.090121
15824.4,7.83,43,59,0,1,25,12,0,0,1,1,1,0,1,2021,0,1,0,0,0,0,0,0,0,995.69,408.11,917.51,1452.01,3773.32,1.87,4084441,0.23845,7.611348,625,1849,9.669309,0.091758,0.088711
18900,9.04,24,45,7,1,4,16,0,0,0,1,1,0,1,2091,0,1,0,0,0,0,0,0,0,995.69,408.11,917.51,1452.01,3773.32,1.8,4372281,0.199647,7.645398,16,576,9.846917,0.076826,0.074275
22000,8.16,20,36,4,1,15,12,0,1,0,1,1,1,1,2695,0,1,0,0,0,0,0,0,0,748.21,349.15,966.18,0,2063.54,0.77,7263025,0.093797,7.899154,225,400,9.998797,0,0.04988
19840,9.92,24,40,3,1,8,6,0,0,1,1,1,0,1,2000,0,1,0,0,0,0,0,0,0,748.21,349.15,966.18,0,2063.54,1.03,4000000,0.104009,7.600903,64,576,9.895455,0,0.05531
24000,12.77,14,35,2,1,8,16,0,0,0,1,1,0,1,1880,0,1,0,0,0,0,0,0,0,748.21,349.15,966.18,0,2063.54,1.1,3534400,0.085981,7.539027,64,196,10.08581,0,0.045723
27000,11.72,34,50,2,1,4,8,0,1,0,1,1,0,1,2304,0,1,0,0,0,0,0,0,0,748.21,349.15,966.18,0,2063.54,0.9,5308416,0.076427,7.742402,16,1156,10.20359,0,0.040643
26000,13.27,31,51,1,1,15,16,0,0,0,1,1,0,1,1960,0,1,0,0,0,0,0,0,0,1147.83,357.61,1107.05,1672.83,4285.32,2.19,3841600,0.16482,7.5807,225,961,10.16585,0.06434,0.057902
6691.2,3.28,3,24,3,0,0.5,10,0,0,1,0,0,0,0,2040,0,0,1,0,0,0,0,0,0,147.67,41.05,0,0,188.72,0.09,4161600,0.028204,7.620705,0.25,9,8.808549,0,0.028204
7467.6,3.81,39,57,2,1,15,12,0,1,0,1,1,0,0,1960,0,0,1,0,0,0,0,0,0,281.69,1.17,386.5,296.51,965.87,0.49,3841600,0.129341,7.5807,225,1521,8.918329,0.039706,0.037878
7399.99,3.7,5,29,3,1,2,13,0,1,0,1,0,1,0,2000,0,0,1,0,0,0,0,0,0,281.69,1.17,386.5,296.51,965.87,0.48,4000000,0.130523,7.600903,4,25,8.909234,0.040069,0.038224
7871.99,4.1,5,23,0,0,0.5,12,0,0,1,1,1,0,0,1920,0,0,1,0,0,0,0,0,0,210.26,0,342.79,0,553.05,0.29,3686400,0.070255,7.560081,0.25,25,8.971066,0,0.02671
7020,3,12,26,4,1,2,12,0,0,1,1,1,0,0,2340,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5475600,0,7.757906,4,144,8.856519,0,0
10454.4,6.05,20,36,3,1,15,12,0,1,0,1,1,1,0,1728,0,0,1,0,0,0,0,0,0,453.63,1.45,568.03,421.65,1444.76,0.84,2985984,0.138196,7.45472,225,400,9.254778,0.040332,0.04353
9839.99,4.1,13,31,1,1,15,12,1,0,0,1,1,0,0,2400,0,0,1,0,0,0,0,0,0,453.63,1.45,568.03,421.65,1444.76,0.6,5760000,0.146825,7.783224,225,169,9.19421,0.042851,0.046248
9243.74,4.93,49,65,0,1,15,6,0,1,0,1,0,1,0,1875,0,0,1,0,0,0,0,0,0,453.63,1.45,568.03,421.65,1444.76,0.77,3515625,0.156296,7.536364,225,2401,9.131701,0.045615,0.049231
9878.39,4.2,29,49,1,1,15,8,1,0,0,1,1,0,0,2352,0,0,1,0,0,0,0,0,0,453.63,1.45,568.03,421.65,1444.76,0.61,5531904,0.146255,7.763021,225,841,9.198105,0.042684,0.046068
11707.9,7.07,23,45,2,1,25,6,0,0,1,1,0,1,0,1656,0,0,1,0,0,0,0,0,0,453.63,1.45,568.03,421.65,1444.76,0.87,2742336,0.1234,7.41216,625,529,9.368019,0.036014,0.03887
9552.55,5.57,20,36,3,1,15,13,1,0,0,1,0,0,0,1715,0,0,1,0,0,0,0,0,0,453.63,1.45,568.03,421.65,1444.76,0.84,2941225,0.151243,7.447168,225,400,9.164563,0.04414,0.04764
10700,5.35,12,31,0,1,4,16,0,1,0,1,1,1,0,2000,0,0,1,0,0,0,0,0,0,124,0,136.07,0,260.07,0.13,4000000,0.024306,7.600903,16,144,9.277999,0,0.011589
8255.99,4.3,23,40,1,1,2,12,0,0,1,1,1,0,0,1920,0,0,1,0,0,0,0,0,0,124,0,136.07,0,260.07,0.14,3686400,0.031501,7.560081,4,529,9.018694,0,0.015019
13160,7,38,58,4,1,25,12,1,0,0,1,1,1,0,1880,0,0,1,0,0,0,0,0,0,674.78,145.13,874.29,797.09,2491.29,1.33,3534400,0.189308,7.539027,625,1444,9.484938,0.060569,0.062303
19400,7.07,33,49,1,0,15,12,0,1,0,1,1,1,0,2744,0,0,1,0,0,0,0,0,0,674.78,145.13,874.29,797.09,2491.29,0.91,7529536,0.128417,7.917172,225,1089,9.873029,0.041087,0.042263
15320.4,7.51,10,28,1,1,0.5,13,0,0,0,1,1,1,0,2040,0,0,1,0,0,0,0,0,0,674.78,145.13,874.29,797.09,2491.29,1.22,4161600,0.162613,7.620705,0.25,100,9.636941,0.052028,0.053518
28000,11.91,28,44,4,1,0.5,14,1,0,0,1,1,0,0,2350,0,0,1,0,0,0,0,0,0,674.78,145.13,874.29,797.09,2491.29,1.06,5522500,0.088975,7.762171,0.25,784,10.23996,0.028467,0.029282
17000,7.56,10,28,1,1,8,13,0,0,1,1,1,0,0,2250,0,0,1,0,0,0,0,0,0,674.78,145.13,874.29,797.09,2491.29,1.11,5062500,0.146546,7.718686,64,100,9.740969,0.046888,0.04823
14000,7.95,23,44,0,1,25,12,0,0,1,1,1,1,0,1760,0,0,1,0,0,0,0,0,0,674.78,145.13,874.29,797.09,2491.29,1.42,3097600,0.177949,7.473069,625,529,9.546813,0.056935,0.058565
19032.3,11.13,17,34,1,1,8,10,0,0,0,1,1,1,0,1710,0,0,1,0,0,0,0,0,0,674.78,145.13,874.29,797.09,2491.29,1.46,2924100,0.130898,7.444249,64,289,9.853893,0.041881,0.04308
20100,6.7,16,32,2,1,4,12,0,0,0,1,1,0,0,3000,0,0,1,0,0,0,0,0,0,674.78,145.13,874.29,797.09,2491.29,0.83,9000000,0.123945,8.006368,16,256,9.908475,0.039656,0.040792
18547.2,8.4,24,40,3,1,15,12,0,0,1,1,1,1,0,2208,0,0,1,0,0,0,0,0,0,674.78,145.13,874.29,797.09,2491.29,1.13,4875264,0.134322,7.699842,225,576,9.828074,0.042976,0.044207
13132.5,5.15,8,24,1,1,2,12,0,1,0,1,1,0,0,2550,0,0,1,0,0,0,0,0,0,674.78,145.13,874.29,797.09,2491.29,0.98,6502500,0.189704,7.843849,4,64,9.482845,0.060696,0.062434
12240,6,42,62,0,1,25,10,0,1,0,1,1,1,0,2040,0,0,1,0,0,0,0,0,0,871.49,0,1404.89,978.43,3254.81,1.6,4161600,0.265916,7.620705,625,1764,9.412464,0.079937,0.0712
21413,7.6,27,43,4,1,2,12,0,0,0,1,1,1,0,2817.5,0,0,1,0,0,0,0,0,0,871.49,0,1404.89,978.43,3254.81,1.16,7938306,0.152002,7.943605,4,729,9.971753,0.045693,0.040699
16895.6,8.36,35,56,0,1,25,13,0,0,1,1,1,1,0,2021,0,0,1,0,0,0,0,0,0,871.49,0,1404.89,978.43,3254.81,1.61,4084441,0.192642,7.611348,625,1225,9.734809,0.05791,0.051581
12680.6,5.18,25,42,2,1,0.5,13,0,0,1,1,1,1,0,2448,0,0,1,0,0,0,0,0,0,871.49,0,1404.89,978.43,3254.81,1.33,5992704,0.256676,7.803027,0.25,625,9.447828,0.07716,0.068726
12240,5,18,34,1,0,4,10,0,0,1,1,1,0,0,2448,0,0,1,0,0,0,0,0,0,678.88,0,0,0,678.88,0.28,5992704,0.055464,7.803027,16,324,9.412464,0,0.055464
12500,6.25,16,32,2,1,8,13,0,0,1,1,1,0,0,2000,0,0,1,0,0,0,0,0,0,266.65,0,668.42,0,935.0699,0.47,4000000,0.074806,7.600903,64,256,9.433484,0,0.021332
14375,5,33,48,0,1,25,12,0,1,0,1,1,0,0,2875,0,0,1,0,0,0,0,0,0,447.78,0,103.1,0,550.88,0.19,8265625,0.038322,7.963808,625,1089,9.573246,0,0.03115
13500,6,10,26,1,1,8,13,0,1,0,1,1,0,0,2250,0,0,1,0,0,0,0,0,0,447.78,0,103.1,0,550.88,0.24,5062500,0.040806,7.718686,64,100,9.510445,0,0.033169
6875,3.44,31,47,2,1,2,12,0,0,1,1,1,0,1,2000,0,0,1,0,0,0,0,0,0,362.8,64,390,195.2,1012,0.51,4000000,0.1472,7.600903,4,961,8.835647,0.028393,0.06208
7350,4.29,15,52,2,1,2,12,1,0,0,0,1,0,1,1715,0,0,1,0,0,0,0,0,0,83,74,161,0,318,0.19,2941225,0.043265,7.447168,4,225,8.902455,0,0.021361
11500,5,9,25,2,1,4,10,0,0,1,1,1,0,1,2300,0,0,1,0,0,0,0,0,0,464.86,186.46,397.1,0,1048.42,0.46,5290000,0.091167,7.740664,16,81,9.350102,0,0.056636
13100,7.49,9,25,1,0,0.5,12,0,0,1,0,1,1,1,1750,0,0,1,0,0,0,0,0,0,905.65,219.82,998.97,1230.22,3354.66,1.92,3062500,0.256081,7.467371,0.25,81,9.480368,0.09391,0.085914
14169.6,7.38,10,32,2,1,4,13,1,0,0,1,1,1,1,1920,0,0,1,0,0,0,0,0,0,905.65,219.82,998.97,1230.22,3354.66,1.75,3686400,0.236751,7.560081,16,100,9.558854,0.086821,0.079428
17500,7.78,14,31,2,1,4,13,1,0,0,1,1,0,1,2250,0,0,1,0,0,0,0,0,0,905.65,219.82,998.97,1230.22,3354.66,1.49,5062500,0.191695,7.718686,16,196,9.769957,0.070298,0.064313
25000,10,20,44,3,1,8,16,0,0,0,1,1,0,1,2500,0,0,1,0,0,0,0,0,0,905.65,219.82,998.97,1230.22,3354.66,1.34,6250000,0.134186,7.824046,64,400,10.12663,0.049209,0.045019
24646.1,11.41,24,40,2,1,0.5,16,0,1,0,1,1,0,1,2160,0,0,1,0,0,0,0,0,0,905.65,219.82,998.97,1230.22,3354.66,1.55,4665600,0.136113,7.677864,0.25,576,10.11237,0.049915,0.045665
17000,8.17,12,32,0,0,0.5,16,0,1,0,1,1,0,1,2080,0,0,1,0,0,0,0,0,0,342.14,28.71,512.29,0,883.14,0.42,4326400,0.051949,7.640123,0.25,144,9.740969,0,0.021815
7119.99,3.56,5,25,2,1,4,12,1,0,0,1,0,1,0,2000,0,0,1,0,0,0,0,0,0,355.33,104.64,466.88,409.34,1336.19,0.67,4000000,0.187667,7.600903,16,25,8.870662,0.057492,0.064603
9206.39,5.48,9,28,0,1,4,13,0,1,0,1,1,1,0,1680,0,0,1,0,0,0,0,0,0,622.49,13.48,750.75,606.38,1993.1,1.19,2822400,0.216491,7.426549,16,81,9.127653,0.065865,0.069079
8495.99,4.72,35,52,0,1,25,10,0,1,0,0,1,1,0,1800,0,0,1,0,0,0,0,0,0,622.49,13.48,750.75,606.38,1993.1,1.11,3240000,0.234593,7.495542,625,1225,9.04735,0.071373,0.074855
8927.99,4.65,2,19,0,0,0.5,12,1,0,0,0,1,1,0,1920,0,0,1,0,0,0,0,0,0,622.49,13.48,750.75,606.38,1993.1,1.04,3686400,0.223242,7.560081,0.25,4,9.096947,0.067919,0.071233
11900,5.95,31,49,0,0,15,8,1,0,0,1,1,0,0,2000,0,0,1,0,0,0,0,0,0,622.49,13.48,750.75,606.38,1993.1,1,4000000,0.167487,7.600903,225,961,9.384294,0.050956,0.053443
8524.8,4.44,12,45,1,1,8,12,0,1,0,0,1,1,0,1920,0,0,1,0,0,0,0,0,0,622.49,13.48,750.75,606.38,1993.1,1.04,3686400,0.2338,7.560081,64,144,9.050735,0.071131,0.074602
24469.1,6.92,9,25,1,1,0.5,12,0,1,0,1,1,1,0,3536,0,0,1,0,0,0,0,0,0,898.55,203.74,1332.61,1235.02,3669.92,1.04,12500000,0.149982,8.170752,0.25,81,10.10517,0.050473,0.045048
23218,13,31,47,1,1,25,6,0,0,1,1,0,1,0,1786,0,0,1,0,0,0,0,0,0,898.55,203.74,1332.61,1235.02,3669.92,2.05,3189796,0.158064,7.487734,625,961,10.05268,0.053192,0.047476
12768,7.6,40,58,0,1,25,12,1,0,0,1,1,0,0,1680,0,0,1,0,0,0,0,0,0,898.55,203.74,1332.61,1235.02,3669.92,2.18,2822400,0.287431,7.426549,625,1600,9.454698,0.096728,0.086332
15507.7,8.08,39,57,1,1,15,12,0,1,0,1,1,1,0,1920,0,0,1,0,0,0,0,0,0,898.55,203.74,1332.61,1235.02,3669.92,1.91,3686400,0.236651,7.560081,225,1521,9.649092,0.079639,0.07108
18589.8,7.9,12,28,1,1,2,16,0,1,0,1,1,0,0,2352,0,0,1,0,0,0,0,0,0,898.55,203.74,1332.61,1235.02,3669.92,1.56,5531904,0.197416,7.763021,4,144,9.830368,0.066435,0.059295
21484.6,9.74,13,29,2,1,8,12,1,0,0,1,1,0,0,2205,0,0,1,0,0,0,0,0,0,898.55,203.74,1332.61,1235.02,3669.92,1.66,4862025,0.170816,7.698483,64,169,9.975092,0.057484,0.051306
17600,6.4,13,33,2,1,4,12,1,0,0,1,1,1,0,2750,0,0,1,0,0,0,0,0,0,898.55,203.74,1332.61,1235.02,3669.92,1.33,7562500,0.208518,7.919356,16,169,9.775654,0.070172,0.06263
17325,6.3,8,26,0,1,4,12,0,1,0,1,1,1,0,2750,0,0,1,0,0,0,0,0,0,898.55,203.74,1332.61,1235.02,3669.92,1.33,7562500,0.211828,7.919356,16,64,9.759906,0.071285,0.063624
16800,8.75,15,37,4,1,2,12,0,0,1,1,1,1,0,1920,0,0,1,0,0,0,0,0,0,898.55,203.74,1332.61,1235.02,3669.92,1.91,3686400,0.218448,7.560081,4,225,9.729135,0.073513,0.065613
18500,7.87,7,24,1,1,4,12,0,1,0,1,1,1,0,2350,0,0,1,0,0,0,0,0,0,898.55,203.74,1332.61,1235.02,3669.92,1.56,5522500,0.198374,7.762171,16,49,9.825526,0.066758,0.059583
25000,11.82,25,42,1,1,25,10,0,1,0,1,1,1,0,2115,0,0,1,0,0,0,0,0,0,898.55,203.74,1332.61,1235.02,3669.92,1.74,4473225,0.146797,7.65681,625,625,10.12663,0.049401,0.044092
15085.9,5.93,26,43,6,1,15,12,1,0,0,1,1,0,0,2544,0,0,1,0,0,0,0,0,0,898.55,203.74,1332.61,1235.02,3669.92,1.44,6471936,0.243268,7.841493,225,676,9.621516,0.081866,0.073068
26376,9.42,14,30,1,1,0.5,18,0,1,0,1,1,1,0,2800,0,0,1,0,0,0,0,0,0,898.55,203.74,1332.61,1235.02,3669.92,1.31,7840000,0.139139,7.937375,0.25,196,10.18021,0.046824,0.041791
15633.4,7.09,9,25,1,1,8,12,0,0,1,1,1,1,0,2205,0,0,1,0,0,0,0,0,0,898.55,203.74,1332.61,1235.02,3669.92,1.66,4862025,0.234749,7.698483,64,81,9.657165,0.078999,0.070509
15435,6.86,3,23,0,0,0.5,16,0,1,0,1,1,1,0,2250,0,0,1,0,0,0,0,0,0,1243.95,0,1668.54,1637.75,4550.24,2.02,5062500,0.2948,7.718686,0.25,9,9.644393,0.106106,0.080593
12900,6.45,36,49,2,1,8,10,0,1,0,1,0,1,0,2000,0,0,1,0,0,0,0,0,0,1243.95,0,1668.54,1637.75,4550.24,2.28,4000000,0.352732,7.600903,64,1296,9.464983,0.126957,0.09643
14231.6,7.57,10,28,1,1,8,13,0,1,0,1,1,1,0,1880,0,0,1,0,0,0,0,0,0,1243.95,0,1668.54,1637.75,4550.24,2.42,3534400,0.319728,7.539027,64,100,9.56322,0.115078,0.087408
17347.5,7.71,17,34,3,1,4,12,0,1,0,1,1,1,0,2250,0,0,1,0,0,0,0,0,0,1243.95,0,1668.54,1637.75,4550.24,2.02,5062500,0.2623,7.718686,16,289,9.761204,0.094408,0.071708
15600,6.5,5,23,0,0,2,12,0,1,0,1,1,1,0,2400,0,0,1,0,0,0,0,0,0,1243.95,0,1668.54,1637.75,4550.24,1.9,5760000,0.291682,7.783224,4,25,9.655026,0.104984,0.07974
