"Survived","Pclass","Age","SibSp","Parch","Embarked","Female","title","Child","Family","Mother","Cherbourg","Queenstown","Southampton"
0,3,22,1,0,"S",0,"Mr",0,2,0,0,0,1
1,1,38,1,0,"C",1,"Mrs",0,2,0,1,0,0
1,3,26,0,0,"S",1,"Miss",0,1,0,0,0,1
1,1,35,1,0,"S",1,"Mrs",0,2,0,0,0,1
0,3,35,0,0,"S",0,"Mr",0,1,0,0,0,1
0,3,32.37,0,0,"Q",0,"Mr",0,1,0,0,1,0
0,1,54,0,0,"S",0,"Mr",0,1,0,0,0,1
0,3,2,3,1,"S",0,"Master",1,5,0,0,0,1
1,3,27,0,2,"S",1,"Mrs",0,3,1,0,0,1
1,2,14,1,0,"C",1,"Mrs",0,2,0,1,0,0
1,3,4,1,1,"S",1,"Miss",1,3,0,0,0,1
1,1,58,0,0,"S",1,"Miss",0,1,0,0,0,1
0,3,20,0,0,"S",0,"Mr",0,1,0,0,0,1
0,3,39,1,5,"S",0,"Mr",0,7,0,0,0,1
0,3,14,0,0,"S",1,"Miss",0,1,0,0,0,1
1,2,55,0,0,"S",1,"Mrs",0,1,0,0,0,1
0,3,2,4,1,"Q",0,"Master",1,6,0,0,1,0
1,2,32.37,0,0,"S",0,"Mr",0,1,0,0,0,1
0,3,31,1,0,"S",1,"Mrs",0,2,0,0,0,1
1,3,35.91,0,0,"C",1,"Mrs",0,1,0,1,0,0
0,2,35,0,0,"S",0,"Mr",0,1,0,0,0,1
1,2,34,0,0,"S",0,"Mr",0,1,0,0,0,1
1,3,15,0,0,"Q",1,"Miss",0,1,0,0,1,0
1,1,28,0,0,"S",0,"Mr",0,1,0,0,0,1
0,3,8,3,1,"S",1,"Miss",1,5,0,0,0,1
1,3,38,1,5,"S",1,"Mrs",0,7,1,0,0,1
0,3,32.37,0,0,"C",0,"Mr",0,1,0,1,0,0
0,1,19,3,2,"S",0,"Mr",0,6,0,0,0,1
1,3,21.82,0,0,"Q",1,"Miss",0,1,0,0,1,0
0,3,32.37,0,0,"S",0,"Mr",0,1,0,0,0,1
0,1,40,0,0,"C",0,"Dr",0,1,0,1,0,0
1,1,35.91,1,0,"C",1,"Mrs",0,2,0,1,0,0
1,3,21.82,0,0,"Q",1,"Miss",0,1,0,0,1,0
0,2,66,0,0,"S",0,"Mr",0,1,0,0,0,1
0,1,28,1,0,"C",0,"Mr",0,2,0,1,0,0
0,1,42,1,0,"S",0,"Mr",0,2,0,0,0,1
1,3,32.37,0,0,"C",0,"Mr",0,1,0,1,0,0
0,3,21,0,0,"S",0,"Mr",0,1,0,0,0,1
0,3,18,2,0,"S",1,"Miss",0,3,0,0,0,1
1,3,14,1,0,"C",1,"Miss",0,2,0,1,0,0
0,3,40,1,0,"S",1,"Mrs",0,2,0,0,0,1
0,2,27,1,0,"S",1,"Mrs",0,2,0,0,0,1
0,3,32.37,0,0,"C",0,"Mr",0,1,0,1,0,0
1,2,3,1,2,"C",1,"Miss",1,4,0,1,0,0
1,3,19,0,0,"Q",1,"Miss",0,1,0,0,1,0
0,3,32.37,0,0,"S",0,"Mr",0,1,0,0,0,1
0,3,32.37,1,0,"Q",0,"Mr",0,2,0,0,1,0
1,3,21.82,0,0,"Q",1,"Miss",0,1,0,0,1,0
0,3,32.37,2,0,"C",0,"Mr",0,3,0,1,0,0
0,3,18,1,0,"S",1,"Mrs",0,2,0,0,0,1
0,3,7,4,1,"S",0,"Master",1,6,0,0,0,1
0,3,21,0,0,"S",0,"Mr",0,1,0,0,0,1
1,1,49,1,0,"C",1,"Mrs",0,2,0,1,0,0
1,2,29,1,0,"S",1,"Mrs",0,2,0,0,0,1
0,1,65,0,1,"C",0,"Mr",0,2,0,1,0,0
1,1,32.37,0,0,"S",0,"Mr",0,1,0,0,0,1
1,2,21,0,0,"S",1,"Miss",0,1,0,0,0,1
0,3,28.5,0,0,"C",0,"Mr",0,1,0,1,0,0
1,2,5,1,2,"S",1,"Miss",1,4,0,0,0,1
0,3,11,5,2,"S",0,"Master",1,8,0,0,0,1
0,3,22,0,0,"C",0,"Mr",0,1,0,1,0,0
1,1,38,0,0,"",1,"Miss",0,1,0,0,0,1
0,1,45,1,0,"S",0,"Mr",0,2,0,0,0,1
0,3,4,3,2,"S",0,"Master",1,6,0,0,0,1
0,1,32.37,0,0,"C",0,"Mr",0,1,0,1,0,0
1,3,4.57,1,1,"C",0,"Master",1,3,0,1,0,0
1,2,29,0,0,"S",1,"Mrs",0,1,0,0,0,1
0,3,19,0,0,"S",0,"Mr",0,1,0,0,0,1
1,3,17,4,2,"S",1,"Miss",0,7,0,0,0,1
0,3,26,2,0,"S",0,"Mr",0,3,0,0,0,1
0,2,32,0,0,"S",0,"Mr",0,1,0,0,0,1
0,3,16,5,2,"S",1,"Miss",0,8,0,0,0,1
0,2,21,0,0,"S",0,"Mr",0,1,0,0,0,1
0,3,26,1,0,"C",0,"Mr",0,2,0,1,0,0
1,3,32,0,0,"S",0,"Mr",0,1,0,0,0,1
0,3,25,0,0,"S",0,"Mr",0,1,0,0,0,1
0,3,32.37,0,0,"S",0,"Mr",0,1,0,0,0,1
0,3,32.37,0,0,"S",0,"Mr",0,1,0,0,0,1
1,2,0.83,0,2,"S",0,"Master",1,3,0,0,0,1
1,3,30,0,0,"S",1,"Miss",0,1,0,0,0,1
0,3,22,0,0,"S",0,"Mr",0,1,0,0,0,1
1,3,29,0,0,"S",0,"Mr",0,1,0,0,0,1
1,3,21.82,0,0,"Q",1,"Miss",0,1,0,0,1,0
0,1,28,0,0,"S",0,"Mr",0,1,0,0,0,1
1,2,17,0,0,"S",1,"Miss",0,1,0,0,0,1
1,3,33,3,0,"S",1,"Mrs",0,4,0,0,0,1
0,3,16,1,3,"S",0,"Mr",0,5,0,0,0,1
0,3,32.37,0,0,"S",0,"Mr",0,1,0,0,0,1
1,1,23,3,2,"S",1,"Miss",0,6,0,0,0,1
0,3,24,0,0,"S",0,"Mr",0,1,0,0,0,1
0,3,29,0,0,"S",0,"Mr",0,1,0,0,0,1
0,3,20,0,0,"S",0,"Mr",0,1,0,0,0,1
0,1,46,1,0,"S",0,"Mr",0,2,0,0,0,1
0,3,26,1,2,"S",0,"Mr",0,4,0,0,0,1
0,3,59,0,0,"S",0,"Mr",0,1,0,0,0,1
0,3,32.37,0,0,"S",0,"Mr",0,1,0,0,0,1
0,1,71,0,0,"C",0,"Mr",0,1,0,1,0,0
1,1,23,0,1,"C",0,"Mr",0,2,0,1,0,0
1,2,34,0,1,"S",1,"Mrs",0,2,1,0,0,1
0,2,34,1,0,"S",0,"Mr",0,2,0,0,0,1
0,3,28,0,0,"S",1,"Miss",0,1,0,0,0,1
0,3,32.37,0,0,"S",0,"Mr",0,1,0,0,0,1
0,1,21,0,1,"S",0,"Mr",0,2,0,0,0,1
0,3,33,0,0,"S",0,"Mr",0,1,0,0,0,1
0,3,37,2,0,"S",0,"Mr",0,3,0,0,0,1
0,3,28,0,0,"S",0,"Mr",0,1,0,0,0,1
1,3,21,0,0,"S",1,"Miss",0,1,0,0,0,1
1,3,32.37,0,0,"S",0,"Mr",0,1,0,0,0,1
0,3,38,0,0,"S",0,"Mr",0,1,0,0,0,1
1,3,21.82,1,0,"Q",1,"Miss",0,2,0,0,1,0
0,1,47,0,0,"S",0,"Mr",0,1,0,0,0,1
0,3,14.5,1,0,"C",1,"Miss",0,2,0,1,0,0
0,3,22,0,0,"S",0,"Mr",0,1,0,0,0,1
0,3,20,1,0,"S",1,"Miss",0,2,0,0,0,1
0,3,17,0,0,"C",1,"Miss",0,1,0,1,0,0
0,3,21,0,0,"S",0,"Mr",0,1,0,0,0,1
0,3,70.5,0,0,"Q",0,"Mr",0,1,0,0,1,0
0,2,29,1,0,"S",0,"Mr",0,2,0,0,0,1
0,1,24,0,1,"C",0,"Mr",0,2,0,1,0,0
0,3,2,4,2,"S",1,"Miss",1,7,0,0,0,1
0,2,21,2,0,"S",0,"Mr",0,3,0,0,0,1
0,3,32.37,0,0,"S",0,"Mr",0,1,0,0,0,1
0,2,32.5,1,0,"C",0,"Mr",0,2,0,1,0,0
1,2,32.5,0,0,"S",1,"Miss",0,1,0,0,0,1
0,1,54,0,1,"S",0,"Mr",0,2,0,0,0,1
1,3,12,1,0,"C",0,"Master",1,2,0,1,0,0
0,3,32.37,0,0,"Q",0,"Mr",0,1,0,0,1,0
1,3,24,0,0,"S",0,"Mr",0,1,0,0,0,1
1,3,21.82,1,1,"C",1,"Miss",0,3,0,1,0,0
0,3,45,0,0,"S",0,"Mr",0,1,0,0,0,1
0,3,33,0,0,"C",0,"Mr",0,1,0,1,0,0
0,3,20,0,0,"S",0,"Mr",0,1,0,0,0,1
0,3,47,1,0,"S",1,"Mrs",0,2,0,0,0,1
1,2,29,1,0,"S",1,"Mrs",0,2,0,0,0,1
0,2,25,0,0,"S",0,"Mr",0,1,0,0,0,1
0,2,23,0,0,"C",0,"Mr",0,1,0,1,0,0
1,1,19,0,2,"S",1,"Miss",0,3,0,0,0,1
0,1,37,1,0,"S",0,"Mr",0,2,0,0,0,1
0,3,16,0,0,"S",0,"Mr",0,1,0,0,0,1
0,1,24,0,0,"C",0,"Mr",0,1,0,1,0,0
0,3,35.91,0,2,"C",1,"Mrs",0,3,1,1,0,0
1,3,22,0,0,"S",1,"Miss",0,1,0,0,0,1
1,3,24,1,0,"S",1,"Mrs",0,2,0,0,0,1
0,3,19,0,0,"Q",0,"Mr",0,1,0,0,1,0
0,2,18,0,0,"S",0,"Mr",0,1,0,0,0,1
0,2,19,1,1,"S",0,"Mr",0,3,0,0,0,1
1,3,27,0,0,"S",0,"Mr",0,1,0,0,0,1
0,3,9,2,2,"S",1,"Miss",1,5,0,0,0,1
0,2,36.5,0,2,"S",0,"Mr",0,3,0,0,0,1
0,2,42,0,0,"S",0,"Dr",0,1,0,0,0,1
0,2,51,0,0,"S",0,"Dr",0,1,0,0,0,1
1,1,22,1,0,"S",1,"Mrs",0,2,0,0,0,1
0,3,55.5,0,0,"S",0,"Mr",0,1,0,0,0,1
0,3,40.5,0,2,"S",0,"Mr",0,3,0,0,0,1
0,3,32.37,0,0,"S",0,"Mr",0,1,0,0,0,1
0,1,51,0,1,"C",0,"Mr",0,2,0,1,0,0
1,3,16,0,0,"Q",1,"Miss",0,1,0,0,1,0
0,3,30,0,0,"S",0,"Mr",0,1,0,0,0,1
0,3,32.37,0,0,"S",0,"Mr",0,1,0,0,0,1
0,3,4.57,8,2,"S",0,"Master",1,11,0,0,0,1
0,3,44,0,1,"S",0,"Mr",0,2,0,0,0,1
1,2,40,0,0,"S",1,"Mrs",0,1,0,0,0,1
0,3,26,0,0,"S",0,"Mr",0,1,0,0,0,1
0,3,17,0,0,"S",0,"Mr",0,1,0,0,0,1
0,3,1,4,1,"S",0,"Master",1,6,0,0,0,1
1,3,9,0,2,"S",0,"Master",1,3,0,0,0,1
1,1,35.91,0,1,"S",1,"Mrs",0,2,1,0,0,1
0,3,45,1,4,"S",1,"Mrs",0,6,1,0,0,1
0,1,32.37,0,0,"S",0,"Mr",0,1,0,0,0,1
0,3,28,0,0,"S",0,"Mr",0,1,0,0,0,1
0,1,61,0,0,"S",0,"Mr",0,1,0,0,0,1
0,3,4,4,1,"Q",0,"Master",1,6,0,0,1,0
1,3,1,1,1,"S",1,"Miss",1,3,0,0,0,1
0,3,21,0,0,"S",0,"Mr",0,1,0,0,0,1
0,1,56,0,0,"C",0,"Mr",0,1,0,1,0,0
0,3,18,1,1,"S",0,"Mr",0,3,0,0,0,1
0,3,4.57,3,1,"S",0,"Master",1,5,0,0,0,1
0,1,50,0,0,"C",1,"Miss",0,1,0,1,0,0
0,2,30,0,0,"S",0,"Mr",0,1,0,0,0,1
0,3,36,0,0,"S",0,"Mr",0,1,0,0,0,1
0,3,21.82,8,2,"S",1,"Miss",0,11,0,0,0,1
0,2,32.37,0,0,"C",0,"Mr",0,1,0,1,0,0
0,3,9,4,2,"S",0,"Master",1,7,0,0,0,1
1,2,1,2,1,"S",0,"Master",1,4,0,0,0,1
1,3,4,0,2,"S",1,"Miss",1,3,0,0,0,1
0,1,32.37,0,0,"S",0,"Mr",0,1,0,0,0,1
1,3,35.91,1,0,"Q",1,"Mrs",0,2,0,0,1,0
1,1,45,0,0,"S",0,"Mr",0,1,0,0,0,1
0,3,40,1,1,"Q",0,"Mr",0,3,0,0,1,0
0,3,36,0,0,"S",0,"Mr",0,1,0,0,0,1
1,2,32,0,0,"S",1,"Mrs",0,1,0,0,0,1
0,2,19,0,0,"S",0,"Mr",0,1,0,0,0,1
1,3,19,1,0,"S",1,"Miss",0,2,0,0,0,1
1,2,3,1,1,"S",0,"Master",1,3,0,0,0,1
1,1,44,0,0,"C",1,"Mrs",0,1,0,1,0,0
1,1,58,0,0,"C",1,"Miss",0,1,0,1,0,0
0,3,32.37,0,0,"Q",0,"Mr",0,1,0,0,1,0
0,3,42,0,1,"S",0,"Mr",0,2,0,0,0,1
1,3,21.82,0,0,"Q",1,"Miss",0,1,0,0,1,0
0,2,24,0,0,"S",1,"Miss",0,1,0,0,0,1
0,3,28,0,0,"S",0,"Mr",0,1,0,0,0,1
0,3,32.37,8,2,"S",0,"Mr",0,11,0,0,0,1
0,3,34,0,0,"S",0,"Mr",0,1,0,0,0,1
0,3,45.5,0,0,"C",0,"Mr",0,1,0,1,0,0
1,3,18,0,0,"S",0,"Mr",0,1,0,0,0,1
0,3,2,0,1,"S",1,"Miss",1,2,0,0,0,1
0,3,32,1,0,"S",0,"Mr",0,2,0,0,0,1
1,3,26,0,0,"C",0,"Mr",0,1,0,1,0,0
1,3,16,0,0,"Q",1,"Miss",0,1,0,0,1,0
1,1,40,0,0,"C",0,"Mr",0,1,0,1,0,0
0,3,24,0,0,"S",0,"Mr",0,1,0,0,0,1
1,2,35,0,0,"S",1,"Miss",0,1,0,0,0,1
0,3,22,0,0,"S",0,"Mr",0,1,0,0,0,1
0,2,30,0,0,"S",0,"Mr",0,1,0,0,0,1
0,3,32.37,1,0,"Q",0,"Mr",0,2,0,0,1,0
1,1,31,1,0,"C",1,"Miss",0,2,0,1,0,0
1,3,27,0,0,"S",1,"Miss",0,1,0,0,0,1
0,2,42,1,0,"S",0,"Mr",0,2,0,0,0,1
1,1,32,0,0,"C",1,"Miss",0,1,0,1,0,0
0,2,30,0,0,"S",0,"Mr",0,1,0,0,0,1
1,3,16,0,0,"S",0,"Mr",0,1,0,0,0,1
0,2,27,0,0,"S",0,"Mr",0,1,0,0,0,1
0,3,51,0,0,"S",0,"Mr",0,1,0,0,0,1
0,3,32.37,0,0,"S",0,"Mr",0,1,0,0,0,1
1,1,38,1,0,"S",0,"Mr",0,2,0,0,0,1
0,3,22,0,0,"S",0,"Mr",0,1,0,0,0,1
1,2,19,0,0,"S",0,"Mr",0,1,0,0,0,1
0,3,20.5,0,0,"S",0,"Mr",0,1,0,0,0,1
0,2,18,0,0,"S",0,"Mr",0,1,0,0,0,1
0,3,21.82,3,1,"S",1,"Miss",0,5,0,0,0,1
1,1,35,1,0,"S",1,"Mrs",0,2,0,0,0,1
0,3,29,0,0,"S",0,"Mr",0,1,0,0,0,1
0,2,59,0,0,"S",0,"Mr",0,1,0,0,0,1
1,3,5,4,2,"S",1,"Miss",1,7,0,0,0,1
0,2,24,0,0,"S",0,"Mr",0,1,0,0,0,1
0,3,21.82,0,0,"S",1,"Miss",0,1,0,0,0,1
0,2,44,1,0,"S",0,"Mr",0,2,0,0,0,1
1,2,8,0,2,"S",1,"Miss",1,3,0,0,0,1
0,2,19,0,0,"S",0,"Mr",0,1,0,0,0,1
0,2,33,0,0,"S",0,"Mr",0,1,0,0,0,1
0,3,21.82,1,0,"C",1,"Miss",0,2,0,1,0,0
1,3,21.82,1,0,"Q",1,"Miss",0,2,0,0,1,0
0,2,29,0,0,"S",0,"Mr",0,1,0,0,0,1
0,3,22,0,0,"S",0,"Mr",0,1,0,0,0,1
0,3,30,0,0,"C",0,"Mr",0,1,0,1,0,0
0,1,44,2,0,"Q",0,"Dr",0,3,0,0,1,0
0,3,25,0,0,"S",1,"Miss",0,1,0,0,0,1
1,2,24,0,2,"S",1,"Mrs",0,3,1,0,0,1
1,1,37,1,1,"S",0,"Mr",0,3,0,0,0,1
0,2,54,1,0,"S",0,"Dr",0,2,0,0,0,1
0,3,32.37,0,0,"S",0,"Mr",0,1,0,0,0,1
0,3,29,1,1,"S",1,"Mrs",0,3,1,0,0,1
0,1,62,0,0,"S",0,"Mr",0,1,0,0,0,1
0,3,30,1,0,"S",0,"Mr",0,2,0,0,0,1
0,3,41,0,2,"S",1,"Mrs",0,3,1,0,0,1
1,3,29,0,2,"C",1,"Mrs",0,3,1,1,0,0
1,1,35.91,0,0,"C",1,"Mrs",0,1,0,1,0,0
1,1,30,0,0,"S",1,"Miss",0,1,0,0,0,1
1,1,35,0,0,"C",1,"Miss",0,1,0,1,0,0
1,2,50,0,1,"S",1,"Mrs",0,2,1,0,0,1
0,3,32.37,0,0,"Q",0,"Mr",0,1,0,0,1,0
1,3,3,4,2,"S",0,"Master",1,7,0,0,0,1
0,1,52,1,1,"S",0,"Mr",0,3,0,0,0,1
0,1,40,0,0,"S",0,"Mr",0,1,0,0,0,1
0,3,21.82,0,0,"Q",1,"Miss",0,1,0,0,1,0
0,2,36,0,0,"S",0,"Mr",0,1,0,0,0,1
0,3,16,4,1,"S",0,"Mr",0,6,0,0,0,1
1,3,25,1,0,"S",0,"Mr",0,2,0,0,0,1
1,1,58,0,1,"S",1,"Mrs",0,2,1,0,0,1
1,1,35,0,0,"S",1,"Miss",0,1,0,0,0,1
0,1,32.37,0,0,"S",0,"Mr",0,1,0,0,0,1
1,3,25,0,0,"S",0,"Mr",0,1,0,0,0,1
1,2,41,0,1,"S",1,"Mrs",0,2,1,0,0,1
0,1,37,0,1,"C",0,"Mr",0,2,0,1,0,0
1,3,21.82,0,0,"Q",1,"Miss",0,1,0,0,1,0
1,1,63,1,0,"S",1,"Miss",0,2,0,0,0,1
0,3,45,0,0,"S",1,"Miss",0,1,0,0,0,1
0,2,32.37,0,0,"S",0,"Mr",0,1,0,0,0,1
0,3,7,4,1,"Q",0,"Master",1,6,0,0,1,0
1,3,35,1,1,"S",1,"Mrs",0,3,1,0,0,1
0,3,65,0,0,"Q",0,"Mr",0,1,0,0,1,0
0,3,28,0,0,"S",0,"Mr",0,1,0,0,0,1
0,3,16,0,0,"S",0,"Mr",0,1,0,0,0,1
1,3,19,0,0,"S",0,"Mr",0,1,0,0,0,1
0,1,32.37,0,0,"S",0,"Mr",0,1,0,0,0,1
0,3,33,0,0,"C",0,"Mr",0,1,0,1,0,0
1,3,30,0,0,"S",0,"Mr",0,1,0,0,0,1
0,3,22,0,0,"S",0,"Mr",0,1,0,0,0,1
1,2,42,0,0,"S",0,"Mr",0,1,0,0,0,1
1,3,22,0,0,"Q",1,"Miss",0,1,0,0,1,0
1,1,26,0,0,"S",1,"Miss",0,1,0,0,0,1
1,1,19,1,0,"C",1,"Mrs",0,2,0,1,0,0
0,2,36,0,0,"C",0,"Mr",0,1,0,1,0,0
0,3,24,0,0,"S",1,"Miss",0,1,0,0,0,1
